plane_id,flight_id,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,geo_altitude,source_type,category
89667d,UAE88F,United Arab Emirates,2026-09-12 11:26:25+00:00,2026-09-12 11:26:25+00:00,-69.5794,47.8754,9753.6,False,247.08,226.43,0.0,10058.4,0,0
7501fd,AXM349,Malaysia,2026-09-12 11:26:24+00:00,2026-09-12 11:26:25+00:00,106.0729,-5.2713,11574.78,False,223.73,314.35,0.0,12374.88,0,0
406668,EZY2572,United Kingdom,2026-09-12 11:26:27+00:00,2026-09-12 11:26:28+00:00,1.4324,52.1312,4853.94,False,178.31,309.62,-3.58,5158.74,0,0
34520b,IBE0170,Spain,2026-09-12 11:26:19+00:00,2026-09-12 11:26:19+00:00,-9.8387,34.4591,12192.0,False,229.55,37.08,0.0,12931.14,0,0
406660,TOM81T,United Kingdom,2026-09-12 11:26:28+00:00,2026-09-12 11:26:28+00:00,-0.4899,45.3814,10972.8,False,212.79,339.33,0.0,11605.26,0,0
40797c,BAW65,United Kingdom,2026-09-12 11:26:21+00:00,2026-09-12 11:26:26+00:00,15.6461,42.9136,10660.38,False,256.41,143.57,0.0,11064.24,0,0
40797a,BAW26V,United Kingdom,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,-0.4029,51.6026,2217.42,False,141.86,101.72,-6.83,2407.92,0,0
840e10,JAL527,Japan,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,141.7153,42.4789,1203.96,False,116.67,25.32,-2.6,1356.36,0,0
a08317,EDV5088,United States,2026-09-12 11:23:40+00:00,2026-09-12 11:23:45+00:00,-83.3428,42.2409,274.32,False,71.81,208.22,-2.93,236.22,0,0
44cd64,OOSKD4S,Belgium,2026-09-12 11:26:02+00:00,2026-09-12 11:26:02+00:00,-0.2522,41.9248,975.36,False,58.71,151.19,0.65,1143.0,0,0
44cd62,OOSKB,Belgium,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,4.5103,51.2095,228.6,False,42.81,184.13,-1.3,365.76,0,0
e48ce6,TAM3908,Brazil,2026-09-12 11:26:23+00:00,2026-09-12 11:26:23+00:00,-46.6585,-23.6261,,True,2.06,149.06,,,0,0
89667f,UAE44,United Arab Emirates,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,27.6075,39.6439,12496.8,False,273.67,123.42,0.0,13098.78,0,0
345215,AEA58KE,Spain,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,-5.2536,40.7604,9304.02,False,231.2,104.04,-11.38,9966.96,0,4
89668b,ABY465,United Arab Emirates,2026-09-12 11:26:28+00:00,2026-09-12 11:26:28+00:00,74.0302,28.2028,10675.62,False,239.37,98.65,0.0,11430.0,0,0
345212,VLG25AM,Spain,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,-4.7908,36.9765,1866.9,False,125.43,188.73,-4.23,2065.02,0,0
abf1d1,N869RV,United States,2026-09-12 11:26:20+00:00,2026-09-12 11:26:20+00:00,-71.9702,41.8996,533.4,False,59.02,165.36,1.63,563.88,0,0
896699,ETD555,United Arab Emirates,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,50.7647,22.8855,10363.2,False,239.68,273.57,0.33,11071.86,0,0
896698,ETD51M,United Arab Emirates,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,29.4525,39.7708,9022.08,False,237.51,156.38,8.78,9502.14,0,0
40796b,TOM2BA,United Kingdom,2026-09-12 11:26:03+00:00,2026-09-12 11:26:03+00:00,-2.2882,53.3708,,True,0.06,315.0,,,0,0
4d00c6,LGL94LC,Luxembourg,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,0.0588,51.5043,,True,8.23,90.0,,,0,0
400ff4,TOM4HD,United Kingdom,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,-0.3638,50.8468,3368.04,False,148.76,77.21,-1.95,3604.26,0,0
345206,VLG5NX,Spain,2026-09-12 11:26:27+00:00,2026-09-12 11:26:28+00:00,-3.5336,41.9681,10363.2,False,213.83,7.6,0.0,11041.38,0,0
345207,VLG30FX,Spain,,2026-09-12 11:24:41+00:00,,,,False,246.99,231.94,0.0,,0,0
a584bc,AAL3180,United States,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,-94.743,33.9354,9753.6,False,239.64,249.39,0.0,10332.72,0,0
86e036,TZP34,Japan,2026-09-12 11:26:28+00:00,2026-09-12 11:26:28+00:00,142.0092,35.7041,7292.34,False,254.85,78.83,6.18,7848.6,0,0
407979,BAW5WB,United Kingdom,2026-09-12 11:24:45+00:00,2026-09-12 11:26:09+00:00,-17.466,64.5775,11567.16,False,238.5,312.46,-0.65,11468.1,0,0
11637d,,Russian Federation,2026-09-12 11:24:14+00:00,2026-09-12 11:24:14+00:00,8.8047,46.1537,,False,0.0,270.0,-0.1,245.0,3,0
780ca9,CES5009,China,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,84.097,54.2376,10972.8,False,239.72,283.02,0.0,11338.56,0,0
7501e6,,Malaysia,2026-09-12 11:24:23+00:00,2026-09-12 11:25:10+00:00,98.9803,4.2828,11277.6,False,223.3,123.73,0.0,12031.98,0,0
a63d42,AAL764,United States,2026-09-12 11:26:28+00:00,2026-09-12 11:26:28+00:00,-83.1193,35.2322,11582.4,False,224.8,311.75,0.0,12230.1,0,0
7501e4,AXM857,Malaysia,2026-09-12 11:26:28+00:00,2026-09-12 11:26:28+00:00,101.2697,2.8413,1478.28,False,133.61,141.41,-4.55,1569.72,0,0
a9a597,N720WY,United States,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,-78.5687,34.7284,5737.86,False,181.57,293.37,7.15,6050.28,0,0
89666d,FDB897,United Arab Emirates,2026-09-12 11:26:23+00:00,2026-09-12 11:26:25+00:00,49.7988,26.7617,9753.6,False,232.54,270.51,0.0,10408.92,0,0
a1193f,N170AT,United States,2026-09-12 11:26:28+00:00,2026-09-12 11:26:28+00:00,-81.537,27.7493,1859.28,False,50.15,153.17,0.33,1958.34,0,0
407966,GICRR,United Kingdom,2026-09-12 11:26:26+00:00,2026-09-12 11:26:27+00:00,-1.0329,51.4699,579.12,False,20.94,242.18,0.65,708.66,0,0
780cb0,CSN3096,China,2026-09-12 11:26:25+00:00,2026-09-12 11:26:25+00:00,122.3066,27.4594,8839.2,False,254.06,282.04,0.0,9517.38,0,0
89666a,FJL821,United Arab Emirates,2026-09-12 11:26:19+00:00,2026-09-12 11:26:19+00:00,71.7574,29.5544,10972.8,False,225.62,228.61,0.0,11719.56,0,0
400fe2,EZY896F,United Kingdom,2026-09-12 11:26:28+00:00,2026-09-12 11:26:28+00:00,-4.3428,56.2114,7924.8,False,169.88,351.99,-0.65,8183.88,0,0
896678,ETD391,United Arab Emirates,2026-09-12 11:21:53+00:00,2026-09-12 11:21:53+00:00,75.7104,9.3361,9738.36,False,250.52,305.39,0.0,10309.86,0,0
7501f9,XAX330,Malaysia,2026-09-12 11:21:49+00:00,2026-09-12 11:21:50+00:00,102.627,3.7016,7330.44,False,223.02,16.34,5.53,7810.5,0,0
400fe0,EZY64NG,United Kingdom,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,-6.2969,52.4594,10721.34,False,223.28,0.53,-4.88,11178.54,0,0
39a413,FHJAT,France,2026-09-12 11:26:28+00:00,2026-09-12 11:26:28+00:00,1.4706,43.4038,487.68,False,56.75,67.62,-1.63,632.46,0,0
781fe9,CCA4293,China,2026-09-12 11:22:14+00:00,2026-09-12 11:22:44+00:00,117.761,36.7799,8107.68,False,265.89,97.0,0.0,8580.12,0,0
a02cb5,FDX204,United States,2026-09-12 11:26:28+00:00,2026-09-12 11:26:28+00:00,-80.1301,25.6483,2773.68,False,149.26,302.76,-6.83,2941.32,0,0
